SYSTEMRTC,MW,MVAR,HZ,IPF,T1,T2,T3,T4,T5,T1_status,T2_status,T3_status,T4_status,T5_status
2025-01-01 00:00:00,2.872,-0.033011000000000006,49.963,-0.085,0.5744,0.718,0.43079999999999996,0.5744,0.5744,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 01:00:00,2.887,-0.033127000000000004,50.001,-0.085,0.5774,0.72175,0.43305,0.5774,0.5774,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 02:00:00,2.863,-0.033171,49.991,-0.085,0.5726,0.71575,0.42945,0.5726,0.5726,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 03:00:00,2.907,-0.033281,50.032,-0.087,0.5814,0.72675,0.43605,0.5814,0.5814,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 04:00:00,4.999,-0.027917,50.021,-0.175,0.9998,1.24975,0.7498499999999999,0.9998,0.9998,CRITICAL,CRITICAL,SAFE,CRITICAL,CRITICAL
2025-01-01 05:00:00,2.942,-0.033220999999999994,50.036,-0.087,0.5884,0.7355,0.4413,0.5884,0.5884,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 06:00:00,2.85,-0.033607,50.074,-0.083,0.5700000000000001,0.7125,0.4275,0.5700000000000001,0.5700000000000001,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 07:00:00,4.827,-0.028453,50.086,-0.167,0.9654,1.20675,0.72405,0.9654,0.9654,CRITICAL,CRITICAL,SAFE,CRITICAL,CRITICAL
2025-01-01 08:00:00,2.873,-0.033646999999999996,50.096,-0.085,0.5746000000000001,0.71825,0.43095,0.5746000000000001,0.5746000000000001,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 09:00:00,4.706,-0.028118999999999998,50.064,-0.165,0.9412000000000001,1.1765,0.7059000000000001,0.9412000000000001,0.9412000000000001,CRITICAL,CRITICAL,SAFE,CRITICAL,CRITICAL
2025-01-01 10:00:00,2.895,-0.033351,49.992,-0.085,0.5790000000000001,0.72375,0.43424999999999997,0.5790000000000001,0.5790000000000001,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 11:00:00,2.911,-0.033423,50.036,-0.085,0.5822,0.72775,0.43665,0.5822,0.5822,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 12:00:00,2.937,-0.033222999999999996,49.989,-0.087,0.5874,0.73425,0.44054999999999994,0.5874,0.5874,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 13:00:00,2.933,-0.033357,50.047,-0.087,0.5866,0.73325,0.43994999999999995,0.5866,0.5866,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 14:00:00,4.716,-0.027749,50.055,-0.167,0.9432,1.179,0.7074,0.9432,0.9432,CRITICAL,CRITICAL,SAFE,CRITICAL,CRITICAL
2025-01-01 15:00:00,2.91,-0.033457,50.043,-0.085,0.5820000000000001,0.7275,0.4365,0.5820000000000001,0.5820000000000001,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 16:00:00,2.911,-0.033413,50.04,-0.085,0.5822,0.72775,0.43665,0.5822,0.5822,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 17:00:00,4.973,-0.028169,50.045,-0.173,0.9946,1.24325,0.74595,0.9946,0.9946,CRITICAL,CRITICAL,SAFE,CRITICAL,CRITICAL
2025-01-01 18:00:00,4.757,-0.028005,50.013,-0.167,0.9514,1.18925,0.7135499999999999,0.9514,0.9514,CRITICAL,CRITICAL,SAFE,CRITICAL,CRITICAL
2025-01-01 19:00:00,2.967,-0.033433,50.081,-0.087,0.5934,0.74175,0.44505,0.5934,0.5934,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 20:00:00,2.979,-0.033129,49.959,-0.089,0.5958,0.74475,0.44685,0.5958,0.5958,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 21:00:00,2.998,-0.033317,50.047,-0.089,0.5996,0.7495,0.44970000000000004,0.5996,0.5996,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 22:00:00,3.012,-0.033245,50.033,-0.089,0.6024,0.753,0.4518,0.6024,0.6024,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-01 23:00:00,3.056,-0.032841,49.904,-0.091,0.6112000000000001,0.764,0.4584,0.6112000000000001,0.6112000000000001,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 00:00:00,3.062,-0.033129,50.009,-0.091,0.6124,0.7655,0.45929999999999993,0.6124,0.6124,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 01:00:00,3.081,-0.032873,49.942,-0.093,0.6162000000000001,0.77025,0.46214999999999995,0.6162000000000001,0.6162000000000001,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 02:00:00,5.325,-0.027247,49.9,-0.191,1.0650000000000002,1.33125,0.79875,1.0650000000000002,1.0650000000000002,CRITICAL,CRITICAL,SAFE,CRITICAL,CRITICAL
2025-01-02 03:00:00,3.091,-0.033165,50.022,-0.091,0.6182000000000001,0.77275,0.46365,0.6182000000000001,0.6182000000000001,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 04:00:00,3.088,-0.032869,49.934,-0.093,0.6176,0.772,0.4632,0.6176,0.6176,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 05:00:00,3.091,-0.033039,50.022,-0.093,0.6182000000000001,0.77275,0.46365,0.6182000000000001,0.6182000000000001,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 06:00:00,3.071,-0.033067,50.008,-0.091,0.6142000000000001,0.76775,0.46065,0.6142000000000001,0.6142000000000001,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 07:00:00,3.101,-0.033133,50.047,-0.093,0.6202000000000001,0.77525,0.46514999999999995,0.6202000000000001,0.6202000000000001,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 08:00:00,3.065,-0.033049,49.994,-0.091,0.613,0.76625,0.45975,0.613,0.613,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 09:00:00,3.103,-0.032813,49.953,-0.093,0.6206,0.77575,0.46545000000000003,0.6206,0.6206,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 10:00:00,3.112,-0.032945,50.007,-0.093,0.6224000000000001,0.778,0.4668,0.6224000000000001,0.6224000000000001,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 11:00:00,3.13,-0.032939,50.023,-0.093,0.626,0.7825,0.4695,0.626,0.626,SAFE,SAFE,SAFE,SAFE,SAFE
2025-01-02 12:00:00,3.125,-0.032885,50.009,-0.093,0.625,0.78125,0.46875,0.625,0.625,SAFE,SAFE,SAFE,SAFE,SAFE
